Id,SalePrice
1461,116220.92905415106
1462,153112.03799355178
1463,183509.39118912598
1464,198045.65366495933
1465,201874.99733034597
1466,166691.4813763895
1467,177681.66790300168
1468,159495.6096285822
1469,195041.8962321566
1470,119898.35803701892
1471,169540.05836958042
1472,95722.12896822089
1473,93331.6891352899
1474,141451.29462547647
1475,101504.3663335386
1476,355048.8226946061
1477,247218.64175511507
1478,306350.195051766
1479,298440.4954193919
1480,451632.9480777688
1481,336195.82510658697
1482,212512.66040793053
1483,180934.94684024228
1484,160692.32025837034
1485,196667.64959273586
1486,191724.37148747037
1487,348544.5928023817
1488,244680.53974033095
1489,189927.83815892632
1490,246329.1642676294
1491,195386.33746756313
1492,92224.76653218624
1493,187724.10119165495
1494,309370.5365434638
1495,293729.6571386811
1496,235370.27298433695
1497,178130.65069380603
1498,180808.07074787773
1499,167369.5492987221
1500,156324.22641671982
1501,173424.8017427117
1502,139996.04135751736
1503,286976.34890852706
1504,240165.2260411598
1505,226915.621995364
1506,183977.56250420303
1507,231951.5275519024
1508,199689.74023474718
1509,158094.31933601352
1510,144526.64381145252
1511,158182.58394887933
1512,171569.24958927138
1513,148496.1440614154
1514,157140.69884304245
1515,186078.7222056532
1516,156409.23299112212
1517,172001.45480259336
1518,129076.72898709853
1519,204132.5749164613
1520,125514.68975998624
1521,129690.0891173764
1522,175034.0488039433
1523,110986.24263636422
1524,125619.25876682119
1525,116655.43767321573
1526,108982.6932238886
1527,107421.75753326883
1528,134878.53592019156
1529,155790.81899282782
1530,189422.54164973221
1531,106745.63840974763
1532,97840.62939046553
1533,147002.45795935797
1534,126197.89673170634
1535,145823.52185431978
1536,107533.89480502036
1537,58558.16553573893
1538,153825.09374013505
1539,191672.93576171334
1540,88348.95337627528
1541,139186.5950630613
1542,141855.03360582585
1543,173117.64014778982
1544,87525.8417418249
1545,116363.46126975093
1546,140404.97458964618
1547,131039.86574182197
1548,140374.78612993634
1549,119578.28842551171
1550,140961.6949500899
1551,107208.65870258496
1552,133355.06266684245
1553,144197.35744030305
1554,115266.45230816638
1555,161744.31107471415
1556,90232.84940514824
1557,111391.9893511761
1558,104052.33274868663
1559,73368.45292887167
1560,130059.93110212398
1561,119854.42131084997
1562,129094.92114078221
1563,118150.8166479763
1564,156274.34106650567
1565,152498.8843034955
1566,237816.4988000333
1567,76765.60516319165
1568,243215.44962257
1569,130565.0025381066
1570,134722.57604283481
1571,112329.98138325525
1572,137462.43716284452
1573,218247.46433869665
1574,118400.92538059164
1575,239527.10996456034
1576,247120.69812707443
1577,174824.23415215808
1578,149197.4168323837
1579,153105.30300660743
1580,195938.78029630735
1581,156579.21733928897
1582,126738.04602498355
1583,276562.5738975905
1584,211490.26413152943
1585,134181.3057288372
1586,67655.5003948175
1587,109423.42805002435
1588,146333.13865270896
1589,97318.82778606459
1590,127502.51725442463
1591,91053.70262498871
1592,120834.9163342156
1593,130342.14867469162
1594,119423.06962297988
1595,108148.1086154865
1596,207099.90637048325
1597,203645.2222054722
1598,232869.09445712864
1599,169821.69774271778
1600,164031.2691125209
1601,60709.138573976066
1602,113062.26344599384
1603,74863.18794161167
1604,266258.0248058779
1605,233891.77503718503
1606,162593.04083112648
1607,175411.9348866164
1608,218036.9116033722
1609,179371.31586122914
1610,152218.4322376388
1611,135037.79832194507
1612,169690.48462463028
1613,162507.84095477068
1614,123658.38067434785
1615,91422.46018512273
1616,78016.72200486272
1617,90974.5599971885
1618,130655.72193761026
1619,140011.73442600237
1620,148179.67444409395
1621,129664.71149863153
1622,144021.1805749304
1623,252742.21142264857
1624,204220.09597837873
1625,115323.71179831887
1626,170749.73474361366
1627,194539.10636974438
1628,274734.296622517
1629,183383.92525116858
1630,330465.1358358957
1631,233039.14262080766
1632,247499.62123648013
1633,178198.3817467165
1634,185658.65870790053
1635,170369.4078188364
1636,150871.45761275967
1637,198060.16096000746
1638,175280.538383656
1639,185368.04321081872
1640,240290.99835902883
1641,182351.03988326032
1642,249558.93237709586
1643,217137.0915211077
1644,244506.7134430996
1645,194285.1333013936
1646,158544.75556818777
1647,162262.00669358345
1648,127951.2755649316
1649,140771.13161969616
1650,113563.146190895
1651,117656.22358513546
1652,96025.3945244129
1653,97847.67725498333
1654,141290.5263424259
1655,125181.35460441968
1656,139356.4202298277
1657,147118.10986515522
1658,146266.95268581185
1659,112587.44156857362
1660,154201.81887760683
1661,428545.9650626138
1662,382705.0231191278
1663,368326.42641273397
1664,457829.1940600974
1665,306440.72289279394
1666,323661.817074306
1667,365791.9509575822
1668,342969.8729584999
1669,319437.0468338089
1670,351365.0468221821
1671,265532.34573142073
1672,397115.2165498057
1673,290618.83230937883
1674,237353.08893816534
